Head InjuryType
791	1
846	1
1024	1
1007	1
399	1
1279	1
407	1
1656	1
1036	1
1226	1
423	2
541	2
517	2
1328	2
471	2
533	2
863	2
786	2
551	2
1068	2
551	3
1068	3
757	3
1114	3
920	3
1809	3
1238	3
918	3
1339	3
603	3
712	4
435	4
298	4
733	4
1200	4
1701	4
707	4
790	4
800	4
480	4
1345	5
1269	5
1477	5
758	5
996	5
1306	5
968	5
943	5
1026	5
1564	5
985	6
1074	6
742	6
985	6
1342	6
1184	6
977	6
1465	6
892	6
1074	6
805	7
2613	7
903	7
949	7
1183	7
1051	7
1387	7
1320	7
1434	7
1603	7
